Os Incompreendidos;François Truffaut;drama;1959;Albert Rémy
Bons Companheiros;Martin Scorsese;Biografia, Crime, Drama;1990;Ray Liotta
Amnésia;Christopher Nolan;Mistério, Suspense;2000;Joe Pantoliano
Scarface;Brian De Palma;Crime, Drama, Suspense;1983;Steven Bauer
Os Suspeitos;Bryan Singer;Crime, Mistério, Suspense;1995;Kevin Spacey
Clube da Luta;David Fincher;Drama;1999;Helena Bonham Carter
Jurassic Park: O Parque dos Dinossauros;Steven Spielberg;Aventura, Ficção Científica;1993;Richard Attenborough
O Sexto Sentido;M. Night Shyamalan;Drama, Mistério, Suspense;1999;Bruce Willis
O Sexto Sentido;M. Night Shyamalan;Drama, Mistério, Suspense;1999;Olivia Williams
Shakespeare Apaixonado;John Madden;drama;1998;Geoffrey Rush
Guerra nas Estrelas;George Lucas;drama;1977;Carrie Fisher
A Origem;Christopher Nolan;Ação, Aventura, Ficção Científica;2010;Joseph Gordon-Levitt
Intocáveis;Olivier Nakache, Éric Toledano;Biografia, Comédia, Drama;2011;François Cluzet
O Cavaleiro das Trevas;Christopher Nolan;Ação, Crime, Drama;2008;Michael Caine
Parasita;Bong Joon-ho;drama;2019;Song Kang-ho
O Cavaleiro das Trevas;Christopher Nolan;Ação, Crime, Drama;2008;Aaron Eckhart
Moonlight: Sob a Luz do Luar;Barry Jenkins;drama;2016;Mahershala Ali
Nomadland;Chloé Zhao;drama;2020;Linda May
O Paciente Inglês;Anthony Minghella;drama;1996;Kristin Scott Thomas
Matrix;Lana Wachowski, Lilly Wachowski;Ação, Ficção Científica;1999;Hugo Weaving
Interestelar;Christopher Nolan;Aventura, Drama, Ficção Científica;2014;Matthew McConaughey
O Profissional;Luc Besson;Ação, Crime, Drama;1994;Natalie Portman
Intocáveis;Olivier Nakache, Éric Toledano;Biografia, Comédia, Drama;2011;Audrey Fleurot
Moonlight: Sob a Luz do Luar;Barry Jenkins;drama;2016;Naomie Harris
Beleza Americana;Sam Mendes;Drama;1999;Annette Bening
Argo;Ben Affleck;drama;2012;Bryan Cranston
Psicose;Alfred Hitchcock;Terror, Suspense;1960;John Gavin
O Poderoso Chefão;Francis Ford Coppola;Crime, Drama;1972;Marlon Brando
Spotlight: Segredos Revelados;Tom McCarthy;drama;2015;Rachel McAdams
A Viagem de Chihiro;Hayao Miyazaki;Animação, Aventura, Família;2001;Mari Natsuki
Parasita;Bong Joon-ho;Comédia, Drama, Suspense;2019;Lee Sun-kyun
O Silêncio dos Inocentes;Jonathan Demme;Crime, Drama, Terror;1991;Jodie Foster
Birdman ou (A Inesperada Virtude da Ignorância);Alejandro G. Iñárritu;drama;2014;Naomi Watts
Oppenheimer;Christopher Nolan;drama;2023;Cillian Murphy
Titanic;James Cameron;drama;1997;Leonardo DiCaprio
O Grande Hotel Budapeste;Wes Anderson;Aventura, Comédia, Drama;2014;Ralph Fiennes
A Bela e a Fera;Gary Trousdale, Kirk Wise;Animação, Família, Fantasia;1991;Jerry Orbach
...E o Vento Levou;Victor Fleming, George Cukor, Sam Wood;Drama, Romance, Guerra;1939;Vivien Leigh
O Discurso do Rei;Tom Hooper;drama;2010;Colin Firth
Taxi Driver;Martin Scorsese;Crime, Drama;1976;Harvey Keitel
Cantando na Chuva;Stanley Donen, Gene Kelly;drama;1952;Debbie Reynolds
Guerra ao Terror;Kathryn Bigelow;drama;2009;Brian Geraghty
Janela Indiscreta;Alfred Hitchcock;drama;1954;Grace Kelly
Cidade de Deus;Fernando Meirelles, Kátia Lund;Crime, Drama;2002;Phellipe Haagensen
12 Anos de Escravidão;Steve McQueen;drama;2013;Brad Pitt
O Poderoso Chefão;Francis Ford Coppola;Crime, Drama;1972;Al Pacino
O Senhor dos Anéis: As Duas Torres;Peter Jackson;Aventura, Drama, Fantasia;2002;Elijah Wood
Guerra nas Estrelas;George Lucas;drama;1977;Mark Hamill
Janela Indiscreta;Alfred Hitchcock;Mistério, Suspense;1954;James Stewart
A Lista de Schindler;Steven Spielberg;Biografia, Drama, História;1993;Liam Neeson
De Volta para o Futuro;Robert Zemeckis;Aventura, Comédia, Ficção Científica;1985;Michael J. Fox
Os Infiltrados;Martin Scorsese;drama;2006;Matt Damon
Pulp Fiction: Tempo de Violência;Quentin Tarantino;Crime, Drama;1994;Samuel L. Jackson
O Senhor dos Anéis: A Sociedade do Anel;Peter Jackson;Aventura, Drama, Fantasia;2001;Ian McKellen
Beleza Americana;Sam Mendes;Drama;1999;Kevin Spacey
O Fabuloso Destino de Amélie Poulain;Jean-Pierre Jeunet;Comédia, Romance;2001;Jamal Debbouze
O Grande Ditador;Charles Chaplin;Comédia, Drama, Guerra;1940;Paulette Goddard
O Bom, o Mau e o Feio;Sergio Leone;drama;1966;Lee Van Cleef
Oito e Meio;Federico Fellini;drama;1963;Anouk Aimée
O Fabuloso Destino de Amélie Poulain;Jean-Pierre Jeunet;Comédia, Romance;2001;Mathieu Kassovitz
Bons Companheiros;Martin Scorsese;Biografia, Crime, Drama;1990;Joe Pesci
O Exterminador do Futuro;James Cameron;Ação, Ficção Científica, Suspense;1984;Paul Winfield
Scarface;Brian De Palma;Crime, Drama, Suspense;1983;Michelle Pfeiffer
Forrest Gump: O Contador de Histórias;Robert Zemeckis;drama;1994;Robin Wright
O Poderoso Chefão;Francis Ford Coppola;drama;1972;James Caan
Lawrence da Arábia;David Lean;drama;1962;Alec Guinness
Apocalypse Now;Francis Ford Coppola;drama;1979;Robert Duvall
Os Infiltrados;Martin Scorsese;drama;2006;Mark Wahlberg
Gladiador;Ridley Scott;drama;2000;Oliver Reed
O Estranho Mundo de Jack;Henry Selick;Animação, Fantasia, Musical;1993;Catherine OHara
Bonnie e Clyde - Uma Rajada de Balas;Arthur Penn;drama;1967;Warren Beatty
Janela Indiscreta;Alfred Hitchcock;drama;1954;James Stewart
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;Aventura, Drama, Fantasia;2003;Viggo Mortensen
Dr. Fantástico;Stanley Kubrick;drama;1964;George C. Scott
O Poderoso Chefão III;Francis Ford Coppola;Crime, Drama;1990;Al Pacino
Taxi Driver;Martin Scorsese;drama;1976;Jodie Foster
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;drama;2003;Ian McKellen
O Rei Leão;Roger Allers, Rob Minkoff;Animação, Aventura, Drama;1994;Matthew Broderick
Taxi Driver;Martin Scorsese;drama;1976;Robert De Niro
O Resgate do Soldado Ryan;Steven Spielberg;Ação, Drama, Guerra;1998;Edward Burns
O Exterminador do Futuro;James Cameron;Ação, Ficção Científica, Suspense;1984;Arnold Schwarzenegger
O Bom, o Mau e o Feio;Sergio Leone;drama;1966;Clint Eastwood
Blade Runner;Ridley Scott;Ficção Científica, Suspense;1982;Sean Young
Titanic;James Cameron;drama;1997;Kathy Bates
O Mágico de Oz;Victor Fleming;Aventura, Família, Fantasia;1939;Frank Morgan
O Resgate do Soldado Ryan;Steven Spielberg;Ação, Drama, Guerra;1998;Matt Damon
Taxi Driver;Martin Scorsese;Crime, Drama;1976;Jodie Foster
O Poderoso Chefão;Francis Ford Coppola;drama;1972;Al Pacino
2001: Uma Odisseia no Espaço;Stanley Kubrick;drama;1968;Keir Dullea
Um Estranho no Ninho;Miloš Forman;Drama;1975;Christopher Lloyd
Parasita;Bong Joon-ho;drama;2019;Choi Woo-shik
Psicose;Alfred Hitchcock;Terror, Suspense;1960;Vera Miles
Psicose;Alfred Hitchcock;Terror, Suspense;1960;Anthony Perkins
Edward Mãos de Tesoura;Tim Burton;Drama, Fantasia, Romance;1990;Dianne Wiest
Titanic;James Cameron;drama;1997;Billy Zane
...E o Vento Levou;Victor Fleming, George Cukor, Sam Wood;Drama, Romance, Guerra;1939;Olivia de Havilland
Os Infiltrados;Martin Scorsese;Crime, Drama, Suspense;2006;Jack Nicholson
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;drama;2003;Elijah Wood
O Mágico de Oz;Victor Fleming;Aventura, Família, Fantasia;1939;Bert Lahr
Cantando na Chuva;Stanley Donen, Gene Kelly;drama;1952;Gene Kelly
Forrest Gump: O Contador de Histórias;Robert Zemeckis;Drama, Romance;1994;Robin Wright
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;Aventura, Drama, Fantasia;2003;Ian McKellen
Monty Python em Busca do Cálice Sagrado;Terry Gilliam, Terry Jones;Aventura, Comédia, Fantasia;1975;Eric Idle
Um Sonho de Liberdade;Frank Darabont;Drama;1994;Bob Gunton
O Senhor dos Anéis: As Duas Torres;Peter Jackson;Aventura, Drama, Fantasia;2002;Viggo Mortensen
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;drama;2003;Viggo Mortensen
Princesa Mononoke;Hayao Miyazaki;Animação, Aventura, Fantasia;1997;Yuriko Ishida
A Espera de um Milagre;Frank Darabont;Drama, Fantasia, Mistério;1999;Bonnie Hunt
Aliens, O Resgate;James Cameron;Ação, Ficção Científica, Terror;1986;Sigourney Weaver
Toy Story;John Lasseter;Animação, Aventura, Comédia;1995;Don Rickles
Casablanca;Michael Curtiz;Drama, Romance, Guerra;1942;Humphrey Bogart
O Artista;Michel Hazanavicius;drama;2011;Jean Dujardin
Gladiador;Ridley Scott;drama;2000;Joaquin Phoenix
O Grande Hotel Budapeste;Wes Anderson;Aventura, Comédia, Drama;2014;Tony Revolori
O Grande Ditador;Charles Chaplin;Comédia, Drama, Guerra;1940;Reginald Gardiner
O Sexto Sentido;M. Night Shyamalan;Drama, Mistério, Suspense;1999;Haley Joel Osment
Parasita;Bong Joon-ho;Comédia, Drama, Suspense;2019;Song Kang-ho
O Exterminador do Futuro 2: O Julgamento Final;James Cameron;Ação, Ficção Científica;1991;Linda Hamilton
Aliens, O Resgate;James Cameron;Ação, Ficção Científica, Terror;1986;Carrie Henn
Cantando na Chuva;Stanley Donen, Gene Kelly;drama;1952;Donald OConnor
Oppenheimer;Christopher Nolan;drama;2023;Matt Damon
Menina de Ouro;Clint Eastwood;drama;2004;Clint Eastwood
Uma Mente Brilhante;Ron Howard;drama;2001;Ed Harris
Pânico;Wes Craven;Terror, Mistério;1996;Neve Campbell
Bonequinha de Luxo;Blake Edwards;drama;1961;Audrey Hepburn
Era Uma Vez no Oeste;Sergio Leone;drama;1968;Charles Bronson
Cidadão Kane;Orson Welles;Drama, Mistério;1941;Dorothy Comingore
Onde os Fracos Não Têm Vez;Joel Coen e Ethan Coen;drama;2007;Tommy Lee Jones
Princesa Mononoke;Hayao Miyazaki;Animação, Aventura, Fantasia;1997;Yūko Tanaka
Tudo em Todo o Lugar ao Mesmo Tempo;Daniel Kwan e Daniel Scheinert;drama;2022;Michelle Yeoh
Green Book: O Guia;Peter Farrelly;drama;2018;Linda Cardellini
Cidadão Kane;Orson Welles;Drama, Mistério;1941;Joseph Cotten
Um Bonde Chamado Desejo;Elia Kazan;drama;1951;Vivien Leigh
O Silêncio dos Inocentes;Jonathan Demme;Crime, Drama, Terror;1991;Ted Levine
Moonlight: Sob a Luz do Luar;Barry Jenkins;drama;2016;Ashton Sanders
Rocky: Um Lutador;John G. Avildsen;drama;1976;Burt Young
Titanic;James Cameron;drama;1997;Kate Winslet
Touro Indomável;Martin Scorsese;Biografia, Drama, Esporte;1980;Joe Pesci
Apocalypse Now;Francis Ford Coppola;drama;1979;Martin Sheen
Alien, o Oitavo Passageiro;Ridley Scott;drama;1979;Tom Skerritt
A Doce Vida;Federico Fellini;drama;1960;Marcello Mastroianni
Os Sete Samurais;Akira Kurosawa;drama;1954;Takashi Shimura
Seven: Os Sete Crimes Capitais;David Fincher;Crime, Drama, Mistério;1995;Morgan Freeman
Gladiador;Ridley Scott;Ação, Aventura, Drama;2000;Connie Nielsen
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;Aventura, Drama, Fantasia;2003;Orlando Bloom
Alien, o Oitavo Passageiro;Ridley Scott;drama;1979;Sigourney Weaver
Intocáveis;Olivier Nakache, Éric Toledano;Biografia, Comédia, Drama;2011;Omar Sy
Indiana Jones e os Caçadores da Arca Perdida;Steven Spielberg;Ação, Aventura;1981;Karen Allen
O Senhor dos Anéis: A Sociedade do Anel;Peter Jackson;Aventura, Drama, Fantasia;2001;Viggo Mortensen
Oito e Meio;Federico Fellini;drama;1963;Marcello Mastroianni
O Rei Leão;Roger Allers, Rob Minkoff;Animação, Aventura, Drama;1994;James Earl Jones
Um Estranho no Ninho;Miloš Forman;Drama;1975;Jack Nicholson
Pulp Fiction: Tempo de Violência;Quentin Tarantino;Crime, Drama;1994;John Travolta
Matrix;Lana Wachowski, Lilly Wachowski;Ação, Ficção Científica;1999;Keanu Reeves
O Senhor dos Anéis: O Retorno do Rei;Peter Jackson;Aventura, Drama, Fantasia;2003;Elijah Wood
Menina de Ouro;Clint Eastwood;drama;2004;Hilary Swank
Os Suspeitos;Bryan Singer;Crime, Mistério, Suspense;1995;Gabriel Byrne
A Origem;Christopher Nolan;Ação, Aventura, Ficção Científica;2010;Leonardo DiCaprio
Shakespeare Apaixonado;John Madden;drama;1998;Colin Firth
Um Estranho no Ninho;Miloš Forman;Drama;1975;Louise Fletcher
No Ritmo do Coração;Sian Heder;drama;2021;Marlee Matlin
Tudo em Todo o Lugar ao Mesmo Tempo;Daniel Kwan e Daniel Scheinert;drama;2022;Ke Huy Quan
Janela Indiscreta;Alfred Hitchcock;Mistério, Suspense;1954;Thelma Ritter
O Iluminado;Stanley Kubrick;Drama, Terror;1980;Scatman Crothers
Aliens, O Resgate;James Cameron;Ação, Ficção Científica, Terror;1986;Lance Henriksen
Blade Runner;Ridley Scott;Ficção Científica, Suspense;1982;Edward James Olmos
A Forma da Água;Guillermo del Toro;drama;2017;Doug Jones
O Senhor dos Anéis: As Duas Torres;Peter Jackson;Aventura, Drama, Fantasia;2002;Orlando Bloom
O Exterminador do Futuro;James Cameron;Ação, Ficção Científica, Suspense;1984;Michael Biehn
Jurassic Park: O Parque dos Dinossauros;Steven Spielberg;Aventura, Ficção Científica;1993;Sam Neill
Oppenheimer;Christopher Nolan;drama;2023;Emily Blunt
Halloween;John Carpenter;Terror, Suspense;1978;P.J. Soles
Onde os Fracos Não Têm Vez;Joel Coen e Ethan Coen;drama;2007;Javier Bardem
Beleza Americana;Sam Mendes;drama;1999;Wes Bentley
Seven: Os Sete Crimes Capitais;David Fincher;Crime, Drama, Mistério;1995;Brad Pitt
O Paciente Inglês;Anthony Minghella;drama;1996;Willem Dafoe
Cidade de Deus;Fernando Meirelles, Kátia Lund;Crime, Drama;2002;Alexandre Rodrigues
Matrix;Lana Wachowski, Lilly Wachowski;Ação, Ficção Científica;1999;Laurence Fishburne
Os Sete Samurais;Akira Kurosawa;drama;1954;Keiko Tsushima
O Poderoso Chefão II;Francis Ford Coppola;Crime, Drama;1974;Diane Keaton
Os Infiltrados;Martin Scorsese;Crime, Drama, Suspense;2006;Mark Wahlberg
Rocky: Um Lutador;John G. Avildsen;drama;1976;Sylvester Stallone
O Mágico de Oz;Victor Fleming;Aventura, Família, Fantasia;1939;Ray Bolger
No Ritmo do Coração;Sian Heder;drama;2021;Emilia Jones
Taxi Driver;Martin Scorsese;Crime, Drama;1976;Robert De Niro
O Paciente Inglês;Anthony Minghella;drama;1996;Ralph Fiennes
Interestelar;Christopher Nolan;Aventura, Drama, Ficção Científica;2014;Michael Caine
Os Infiltrados;Martin Scorsese;drama;2006;Jack Nicholson
Taxi Driver;Martin Scorsese;drama;1976;Cybill Shepherd
Apocalypse Now;Francis Ford Coppola;Drama, Guerra;1979;Martin Sheen
Touro Indomável;Martin Scorsese;Biografia, Drama, Esporte;1980;Robert De Niro
Clube da Luta;David Fincher;Drama;1999;Edward Norton
A Princesa Prometida;Rob Reiner;Aventura, Comédia, Fantasia;1987;Chris Sarandon
...E o Vento Levou;Victor Fleming, George Cukor, Sam Wood;Drama, Romance, Guerra;1939;Leslie Howard
Onde os Fracos Não Têm Vez;Joel Coen e Ethan Coen;drama;2007;Josh Brolin
Halloween;John Carpenter;Terror, Suspense;1978;Nancy Kyes
Quem Quer Ser um Milionário?;Danny Boyle e Loveleen Tandan;drama;2008;Dev Patel
Gladiador;Ridley Scott;drama;2000;Connie Nielsen
Beleza Americana;Sam Mendes;drama;1999;Annette Bening
Chicago;Rob Marshall;drama;2002;Richard Gere
Halloween;John Carpenter;Terror, Suspense;1978;Jamie Lee Curtis
Forrest Gump: O Contador de Histórias;Robert Zemeckis;Drama, Romance;1994;Sally Field
Uma Mente Brilhante;Ron Howard;drama;2001;Russell Crowe
Shakespeare Apaixonado;John Madden;drama;1998;Joseph Fiennes
Apocalypse Now;Francis Ford Coppola;drama;1979;Marlon Brando
Crash: No Limite;Paul Haggis;drama;2005;Sandra Bullock
A Espera de um Milagre;Frank Darabont;Drama, Fantasia, Mistério;1999;Tom Hanks
Oppenheimer;Christopher Nolan;drama;2023;Robert Downey Jr.
Dr. Fantástico;Stanley Kubrick;drama;1964;Peter Sellers
Apocalypse Now;Francis Ford Coppola;Drama, Guerra;1979;Laurence Fishburne
O Exterminador do Futuro 2: O Julgamento Final;James Cameron;Ação, Ficção Científica;1991;Edward Furlong
Nomadland;Chloé Zhao;drama;2020;David Strathairn
O Exterminador do Futuro 2: O Julgamento Final;James Cameron;Ação, Ficção Científica;1991;Robert Patrick
Blade Runner;Ridley Scott;Ficção Científica, Suspense;1982;Harrison Ford
Braveheart;Mel Gibson;drama;1995;Sophie Marceau
O Discurso do Rei;Tom Hooper;drama;2010;Geoffrey Rush
Touro Indomável;Martin Scorsese;Biografia, Drama, Esporte;1980;Cathy Moriarty
Um Estranho no Ninho;Miloš Forman;drama;1975;Danny DeVito
Tempos Modernos;Charles Chaplin;Comédia, Drama, Romance;1936;Charles Chaplin
Guerra nas Estrelas;George Lucas;drama;1977;Harrison Ford
Gladiador;Ridley Scott;Ação, Aventura, Drama;2000;Oliver Reed
Seven: Os Sete Crimes Capitais;David Fincher;Crime, Drama, Mistério;1995;Gwyneth Paltrow
A Chegada;Denis Villeneuve;Drama, Ficção Científica, Suspense;2016;Amy Adams
Forrest Gump: O Contador de Histórias;Robert Zemeckis;drama;1994;Gary Sinise
O Sexto Sentido;M. Night Shyamalan;Drama, Mistério, Suspense;1999;Toni Collette
Rebelde Sem Causa;Nicholas Ray;drama;1955;James Dean
Psicose;Alfred Hitchcock;drama;1960;Vera Miles
Dr. Fantástico;Stanley Kubrick;drama;1964;Sterling Hayden
Indiana Jones e os Caçadores da Arca Perdida;Steven Spielberg;Ação, Aventura;1981;Paul Freeman
O Cavaleiro das Trevas;Christopher Nolan;Ação, Crime, Drama;2008;Christian Bale
Blade Runner;Ridley Scott;Ficção Científica, Suspense;1982;Rutger Hauer
Os Suspeitos;Bryan Singer;Crime, Mistério, Suspense;1995;Benicio del Toro
Bonnie e Clyde - Uma Rajada de Balas;Arthur Penn;drama;1967;Gene Hackman
E.T. - O Extraterrestre;Steven Spielberg;Aventura, Família, Ficção Científica;1982;Peter Coyote
Butch Cassidy;George Roy Hill;drama;1969;Robert Redford
Butch Cassidy;George Roy Hill;drama;1969;Katharine Ross
Era Uma Vez no Oeste;Sergio Leone;drama;1968;Henry Fonda
Psicose;Alfred Hitchcock;drama;1960;Janet Leigh
Argo;Ben Affleck;drama;2012;John Goodman
O Discurso do Rei;Tom Hooper;drama;2010;Helena Bonham Carter
Lawrence da Arábia;David Lean;drama;1962;Anthony Quinn
O Poderoso Chefão III;Francis Ford Coppola;Crime, Drama;1990;Sofia Coppola
A Lista de Schindler;Steven Spielberg;Biografia, Drama, História;1993;Caroline Goodall
Crash: No Limite;Paul Haggis;drama;2005;Terrence Howard
Laranja Mecânica;Stanley Kubrick;drama;1971;Patrick Magee
Beleza Americana;Sam Mendes;Drama;1999;Wes Bentley
Um Sonho de Liberdade;Frank Darabont;Drama;1994;William Sadler
Pânico;Wes Craven;Terror, Mistério;1996;David Arquette
Os Infiltrados;Martin Scorsese;Crime, Drama, Suspense;2006;Leonardo DiCaprio
Halloween;John Carpenter;Terror, Suspense;1978;Donald Pleasence
A Vida é Bela;Roberto Benigni;Comédia, Drama, Guerra;1997;Giorgio Cantarini
Braveheart;Mel Gibson;drama;1995;Mel Gibson
Persona;Ingmar Bergman;drama;1966;Liv Ullmann
Amnésia;Christopher Nolan;Mistério, Suspense;2000;Carrie-Anne Moss
Easy Rider - Sem Destino;Dennis Hopper;drama;1969;Jack Nicholson
Casablanca;Michael Curtiz;Drama, Romance, Guerra;1942;Claude Rains
Touro Indomável;Martin Scorsese;Biografia, Drama, Esporte;1980;Frank Vincent
Os Incompreendidos;François Truffaut;drama;1959;Claire Maurier
Clube da Luta;David Fincher;Drama;1999;Brad Pitt
Forrest Gump: O Contador de Histórias;Robert Zemeckis;drama;1994;Tom Hanks
O Rei Leão;Roger Allers, Rob Minkoff;Animação, Aventura, Drama;1994;Jonathan Taylor Thomas
